label,category,locality,postal_code,latitude,longitude,description,ville_proche
Site d'escalade de la Goulette,Lieu de sport et de loisir,Lajoux,39310,46.367279,5.984624,"Un magnifique site d'une vingtaine de voies, peu hautes allant du 3c au 5c, situé entre les villages de Mijoux et Lajoux.",217
Hôtel du Nord by Bestwestern,Logement,Mâcon,71000,46.306569,4.836361,"Situé sur les bords de Saône à Mâcon, entre mâconnais et beaujolais, l’Hôtel du Nord vous propose 19 chambres au centre de la capitale de la Bourgogne du sud.",355
Grande balade de la Chapelle de Montempuy,Lieu de sport et de loisir,Saint-Parize-en-Viry,58300,46.752422,3.355297,"Située aux confins de l’Allier, dans le département de la Nièvre, cette boucle vous mène à la découverte de la jolie campagne nivernaise et de la belle chapelle de Montempuy.",239
Brit Hôtel Mâcon Centre,Restaurant,Mâcon,71000,46.3032,4.826852,L'hôtel est situé à la croisée des grands crus de Bourgogne et du Beaujolais. Il est idéal pour une soirée étape de charme et de détente à mi chemin entre le Nord et le Sud de la France.,355
Panorama 360 Hôtel & Spa,Logement,Mâcon,71000,46.305597,4.828965,"Silhouette reconnaissable entre toutes, l'ancien Hôtel des Postes de Mâcon, superbe bâtisse début XXe en pierre de Flacé et de Saint-Martin, s'est transformé en un hôtel 4 étoiles à la décoration contemporaine et chaleureuse.",355
Sentiers Nordiques,Activité,Lamoura,39310,46.40587,5.98028,Profitez de nombreuses activités neiges et hors neiges avec les chiens de traineaux de Sophie.,203
"Mâcon, Cité de Lamartine",Site culturel,Mâcon,71000,46.30348,4.832142,"Terre natale de Lamartine et Chef lieu du département de la Saône et Loire, Mâcon vous invite à visiter ses musées, ses sites historiques et archéologiques. 
Profitez également de balades agréables le long de la Saône.",355
Communauté de Communes Le Grand Charolais,Activité,Paray-le-Monial,71600,46.454386,4.116652,Établissement public de coopération communale (EPCI) à fiscalité propre.,370
PR 33 : Chemin de la Brigandière,Lieu de sport et de loisir,Dornes,58390,46.709269,3.323168,"Sur ce circuit dans la Nièvre, vous partirez de l'étang des Baillys. Ce parcours est réalisé en grande partie sur les chemins ruraux traversant le territoire : chemins creux humides, vieux chênes, faune et flore sauvage, …",239
Aventure pêche,Activité,Flagy,71250,46.487087,4.638189,"Découvrez avec un guide professionnel et son bateau, la pêche du silure sur la Saône et ses affluents. Depuis presque un demi-siècle, les silures nagent dans la Saône et des captures de silures dépassant 2,50m pour 100 kg sont régulièrement enregistrées.",329
Étangs des Baillys,Lieu de sport et de loisir,Dornes,58390,46.709518,3.323349,"Situé à 2 km du village de Dornes, les étangs des Baillys offre un cadre de pêche où il y règne le calme dans un univers d’eau et de verdure.",239
