nom,code_postal,population,latitude,longitude,altitude,id_ville
Ahuy,21121,1695,47.36917,5.02139,290,1
Aiserey,21110,1489,47.17278,5.16278,197,2
Arc-sur-Tille,21560,2590,47.34417,5.19028,220,3
Arnay-le-Duc,21230,1355,47.1325,4.49,360,4
Asnières-lès-Dijon,21380,1320,47.38611,5.04389,330,5
Auxonne,21130,7592,47.19417,5.38833,185,6
Beaune,21200,20233,47.02417,4.84028,220,7
Belleneuve,21310,1575,47.35472,5.28139,200,8
Bligny-lès-Beaune,21200,1273,46.98306,4.82639,215,9
Brazey-en-Plaine,21470,2425,47.135,5.21694,184,10
Bressey-sur-Tille,21560,1110,47.31,5.18194,212,11
Châtillon-sur-Seine,21400,5404,47.85917,4.57444,230,12
Chenôve,21300,14299,47.29611,5.01444,280,13
Chevigny-Saint-Sauveur,21800,10895,47.30222,5.13556,215,14
Collonges et Premières,21110,1067,47.22528,5.26722,195,15
Couchey,21160,1108,47.26028,4.97944,290,16
Couternon,21560,1903,47.33417,5.15111,217,17
Daix,21121,1520,47.35278,4.99861,340,18
Dijon [4],21000,159941,47.3225,5.03556,245,19
Fénay,21600,1724,47.23306,5.06361,230,20
Fleurey-sur-Ouche,21410,1498,47.31139,4.85917,280,21
Fontaine-lès-Dijon,21121,9032,47.34444,5.01917,300,22
Genlis,21110,5125,47.24139,5.22056,199,23
Gevrey-Chambertin,21220,2983,47.22583,4.96861,280,24
Hauteville-lès-Dijon,21121,1206,47.365,4.995,390,25
Is-sur-Tille,21120,4308,47.52361,5.11278,280,26
Labergement-lès-Seurre,21820,1012,46.99472,5.09194,200,27
Ladoix-Serrigny,21550,1783,47.06528,4.88833,215,28
Lamarche-sur-Saône,21760,1375,47.27,5.38556,190,29
Longchamp,21110,1168,47.26,5.28806,205,30
Longeault-Pluvault,21110,1154,47.21944,5.25167,195,31
Longecourt-en-Plaine,21110,1185,47.2,5.15056,202,32
Longvic,21600,8787,47.285,5.06306,226,33
Losne,21170,1712,47.09861,5.26389,180,34
Marcilly-sur-Tille,21120,1734,47.51944,5.13278,280,35
Marsannay-la-Côte,21160,5440,47.26889,4.98944,271,36
Messigny-et-Vantoux,21380,1694,47.40639,5.01778,310,37
Meursault,21190,1376,46.97583,4.77389,240,38
Mirebeau-sur-Bèze,21310,1937,47.39917,5.31833,200,39
Montbard,21500,4751,47.62583,4.34139,211,40
Neuilly-Crimolois,21800,3430,47.28083,5.10583,225,41
Noiron-sous-Gevrey,21910,1143,47.19444,5.07889,210,42
Nolay,21340,1419,46.95056,4.63528,330,43
Nuits-Saint-Georges,21700,5263,47.13722,4.95111,244,44
Ouges,21600,1505,47.26194,5.07583,220,45
Perrigny-lès-Dijon,21160,2321,47.26556,5.00611,253,46
Plombières-lès-Dijon,21370,2508,47.34195,4.97083,270,47
Pontailler-sur-Saône,21270,1285,47.305,5.41333,200,48
Pouilly-en-Auxois,21320,1554,47.2625,4.55528,400,49
Quetigny,21800,8897,47.315,5.115,220,50
Rouvres-en-Plaine,21110,1254,47.23667,5.14306,206,51
Ruffey-lès-Echirey,21490,1404,47.36778,5.08083,240,52
Saint-Apollinaire,21850,7517,47.33389,5.08333,250,53
Saint-Jean-de-Losne,21170,1001,47.10361,5.26722,180,54
Saint-Julien,21490,1749,47.40194,5.1425,235,55
Saint-Usage,21170,1330,47.10972,5.26167,185,56
Saulieu,21210,2269,47.2825,4.23139,540,57
Saulon-la-Chapelle,21910,1030,47.21611,5.08861,208,58
Savigny-lès-Beaune,21420,1300,47.06222,4.81889,268,59
Selongey,21260,2394,47.58861,5.18472,300,60
Semur-en-Auxois,21140,4027,47.49306,4.33139,280,61
Sennecey-lès-Dijon,21800,2125,47.29222,5.10167,225,62
Seurre,21250,2336,46.99556,5.14639,180,63
Talant,21240,11986,47.33583,5.00361,360,64
Tart,21110,1533,47.20472,5.20611,231,65
Thorey-en-Plaine,21110,1134,47.21583,5.13389,204,66
Til-Châtel,21120,1136,47.51833,5.17611,280,67
Varois-et-Chaignot,21490,2068,47.34945,5.12667,230,68
Velars-sur-Ouche,21370,1829,47.32028,4.9025,290,69
Venarey-les-Laumes,21150,2758,47.54333,4.45778,240,70
Villers-les-Pots,21130,1206,47.21139,5.355,200,71
Vitteaux,21350,1056,47.3975,4.54139,323,72
Abbévillers,25310,1099,47.43167,6.91944,560,73
Arc-et-Senans,25610,1621,47.03667,5.78833,243,74
Arcey,25750,1491,47.52056,6.6575,374,75
Audincourt,25400,14009,47.47778,6.84139,322,76
Avanne-Aveney,25720,2237,47.20167,5.96583,250,77
Bart,25420,2015,47.49306,6.77056,314,78
Baume-les-Dames,25110,5064,47.35444,6.36056,280,79
Bavans,25550,3566,47.48306,6.72944,330,80
Besançon [4],25000,120057,47.24528,6.02583,261,81
Bethoncourt,25200,5288,47.53417,6.80056,354,82
Beure,25720,1342,47.20778,6.00472,250,83
Blamont,25310,1236,47.38445,6.8525,548,84
Bonnétage,25210,1001,47.19944,6.70333,896,85
Bouclans,25360,1057,47.24833,6.23639,439,86
Boussières,25320,1200,47.15694,5.90083,270,87
Chaffois,25300,1032,46.91389,6.26833,850,88
Chalezeule,25220,1326,47.25945,6.07528,250,89
Charquemont,25140,2867,47.21389,6.82306,870,90
Châtillon-le-Duc,25870,2025,47.30778,6.00667,300,91
Chemaudin et Vaux,25320,2114,47.22472,5.89056,300,92
la Cluse-et-Mijoux,25300,1317,46.87806,6.37444,850,93
